itemCode,itemName,purchasePrice,stockQuantity,taxRate,taxInclusive
A46FOM,Drools Optimum Performance Adult 20kg,1796.61,100,GST@18%,N
YIL92G,Drools Optimum Performance Puppy 20kg,1932.2,100,GST@18%,N
H82FCD,Drools Power Bite 135g,0,100,GST@18%,Y
M685PC,Drools Powerbite 800gm,253.73,100,GST@18%,N
L73D3T,Drools Pup Booster,192.5,100,GST@0%,N
HK5319,Drools Puppy 1.2kg,171.61,100,GST@18%,N
ZWN5N1,Drools puppy 10kg,1161.86,100,GST@18%,N
LDA5PJ,Drools puppy 15kg,1572.03,100,GST@18%,N
E4OO31,drools puppy 20kg,1761.86,100,GST@18%,N
QM1GHX,Drools Puppy 3kg,419.49,100,GST@18%,N
P2M3QS,Drools Puppy 3kg Free,0,100,GST@18%,N
DLFB28,Drools Puppy 700gm,0,100,GST@18%,N
B1HCKK,Drools Puppy gravy,22.25,100,GST@18%,N
W5FXSK,Drools Ultimum Performance Adult 20kg,2027.11,100,GST@18%,N
Y92Y5Y,Drools Ultimum Performance Puppy 20kg,2271.18,100,GST@18%,N
J42LF8,DUMBLE RUBBER TOY,75,100,GST@18%,N
VPBJFA,FEEDING BOWL 1400ML,218.75,100,GST@12%,N
O11V51,FEEDING BOWL 225ML,78.13,100,GST@12%,N
ER4869,FEEDING BOWL 450ML,100.85,100,GST@18%,N
N87934,FEEDING BOWL 700ML,125,100,GST@12%,N
N48QB4,FEEDING BOWL 850ML,148.3,100,GST@18%,N
DA89HJ,FISH FOOD 100GM,37.5,100,GST@18%,N
DKJFXM,FISH FOOD 200GM,62.5,100,GST@18%,N
X6O6ZK,FISH FOOD 50GM,20,100,GST@18%,N
YI7B98,FIT 32 2KG,789.36,100,GST@18%,N
K2629I,Fizzy Toy,47,100,GST@18%,N
JTDI21,FOOD BOWL STAND,470,100,GST@18%,N
X37WG4,Food For Hamster 400gm,0,100,GST@18%,N
B25D8W,Food For Rabbit  400gm,139.83,100,GST@18%,N
X441WA,Fresh Friend cat liquid brush with paste,252.12,100,GST@18%,N
VHT27V,FRISKIES KITTEN 400GM,119.15,100,GST@18%,N
AR3NSV,FRISKIES SEAFOOD 1.2KG,282.2,100,GST@18%,N
P15F4G,FRISKIES SEAFOOD 3KG,595.77,100,GST@18%,N
FFA9WL,FRISKIES SURFIN 1.2KG,282.2,100,GST@18%,N
I63G3H,FUN BALL S,90,100,GST@18%,N
DN8N9T,Gouri Bone,0,100,GST@18%,Y
HKGZRI,HIMALAYA ERINA EP 200ML,240,100,GST@18%,N
UHHWKQ,HIMALAYA ERINA EP POWDER,190,100,GST@18%,N
U84T7T,HOLLOW BALL,80,100,GST@18%,N
UNX9BA,HUNTER,70,100,GST@18%,N
WP465G,Iams Ad Lab 3kg,830.51,100,GST@18%,N
YS88E2,Iams Plb 3KG,788.16,100,GST@18%,N
RJ2Q8V,Iams Plb 8kg,1898.3,100,GST@18%,N
TF6UY3,IAMS PSMB 3KG,788.16,100,GST@18%,N
WJMABU,jer high cheese & sausage bites,225,100,GST@18%,N
BQA8S5,JER HIGH SPINACH STIX,225,100,GST@18%,N
J491IM,Lets bite cat litter,0,100,GST@18%,Y
Q49544,LINT ROLLER,140,100,GST@18%,N
A3314D,MASK L,60,100,GST@18%,N
YK4111,MASK M,55,100,GST@18%,N
X79V7Q,MASK S,35,100,GST@18%,N
M1NB7Y,MASK XL,70,100,GST@18%,N
T41LB6,MASK XS,25,100,GST@18%,N
F8M1NR,MASK XXL,80,100,GST@18%,N
HU1RG1,MEAT JERKY BARBEQUE,88.14,100,GST@18%,N
RMJ8BV,MEAT JERKY LAMB,88.14,100,GST@18%,N
O583N8,MEAT JERKY LIVER,88.14,100,GST@18%,N
I255Y5,MEO KITTEN OCEAN FISH 1.2KG,370,100,GST@18%,N
M96KOK,MEO KITTEN OCEAN FISH 2.8KG,880,100,GST@18%,N
